epoch,train_loss,val_loss
1,118.22977357460985,115.44097087917966
2,113.16631427126858,109.22156558871214
3,105.72783480046284,100.54825990548181
4,95.94957022747872,89.55391461472624
5,83.89833202223406,76.29930752154127
6,69.67172750133079,61.088086932458786
7,53.81860036897468,45.199794540206234
8,38.57953457088774,31.71319398295216
9,26.289321353259986,21.59354374295331
10,17.968425008375277,15.203701561741324
11,13.267942925690216,11.953087419811787
12,10.690594927034883,10.604342871350125
13,9.500014491350855,9.097536292367563
14,8.56893401526767,8.435743053869608
15,8.086563157048285,7.952074169211018
16,7.691620240285705,7.617852627539894
17,7.402408908893929,10.03585927920106
18,7.239316145204973,7.978929007070348
19,7.061939927353453,6.9863605134000215
20,6.764408842482597,6.9899640323201195
21,6.693463608356319,6.63534104551234
22,6.56116161737156,6.556576250041148
23,6.385398985345319,6.434484583700241
24,6.176875519601234,6.696373200008641
25,6.2071531579872925,6.221602300923373
26,6.029679711601404,6.174573122495083
27,6.053546986531217,6.079672522575117
28,5.9238065043862305,5.984373376561587
29,5.745884327901906,6.455613345319559
30,5.817130396049181,6.032431340771103
31,5.626140738265362,6.127854470865806
32,5.476355337910363,5.80086427039013
33,5.57066041686149,5.844501282291315
34,5.561552466365294,5.907157035937075
35,5.3414904451498915,5.675119690809885
36,5.392785660412526,5.646352932746315
37,5.324400052454676,5.669504554885977
38,5.298665841941544,5.771309332977055
39,5.322714202557902,6.0594326015237305
40,5.134218654782592,5.680418256243262
41,5.252282789182172,5.516519916406745
42,5.170599118848795,6.5312649967132606
43,5.20867609860657,5.54981424328353
44,5.180327796925451,5.453536171943795
45,5.24757192800061,5.345477338471414
46,5.032453380240458,5.451711595940902
47,5.058216396829418,5.239879886774654
48,5.043194999727675,5.229367608693863
49,5.0363259428675,5.401805990044111
50,5.0391295656506205,5.251826368214606
51,4.89558436978472,5.466600149626371
52,5.0284080574287175,5.424825334100411
53,4.849549884191226,5.8147480041030235
54,4.872317859696363,5.236719052184576
55,4.929354885362737,5.895582145083573
56,4.842042493361436,5.146653051858474
57,4.812377758832065,5.777958976900754
58,4.732632706090934,5.016653600934277
59,4.939775190254978,5.996610212372748
60,5.041455816842684,5.18692930514007
61,4.75314302948843,5.142594777298969
62,4.766371874588943,5.018174971684663
63,4.79814033979737,5.1383346980931766
64,4.768729777942086,5.031586823286575
65,4.652526541732008,5.249702444634642
66,4.5942696373620135,5.207219970697097
67,4.80879968775113,5.0861329475186405
68,4.640198392293408,5.00101159501506
69,4.737764085400348,5.197423572698665
70,4.732748034764084,4.898378991922542
71,4.530860331188303,4.981897632981788
72,4.549179590436049,5.341654430334496
73,4.636427662516366,4.981117964628717
74,4.580305735549819,4.824115637550304
75,4.623488660489856,5.018526534506135
76,4.465048567782462,4.876364122255392
77,4.536659171681129,4.8217252128922485
78,4.493921432279196,4.842825749186288
79,4.435616268900897,4.839471805793303
80,4.51502993937172,5.031005455524602
81,4.4984737155316195,5.219242046501963
82,4.478027563528798,4.9571055263258055
83,4.43263477181092,4.835730021356091
84,4.531247153914749,4.973104158265507
85,4.472051928555537,5.067614731125166
86,4.422529266427106,4.680284949446449
87,4.442178626957914,5.2467476902811265
88,4.482271445946828,5.002507022898133
89,4.489310324579283,4.758830926315313
90,4.352924755222217,4.760936043727523
91,4.349512937267882,4.835897918642654
92,4.423128714602888,4.912352135300508
93,4.335093874569418,4.843280167279094
94,4.365056609077209,4.882955225954338
95,4.391053755316761,4.76764117388292
96,4.310654355864031,4.771095055180189
97,4.307544230974759,4.850696725116451
98,4.235194885306217,4.859373714108187
99,4.445429823742783,4.6903063142174375
100,4.381763105415722,5.531488966919661
