epoch,train_loss,val_loss
1,4.325037231313518,4.497163622273211
2,3.7281072976479432,4.278675469710483
3,3.557190001781325,4.1228663380401045
4,3.437560066868627,4.1199858246962835
5,3.3451272701461545,4.056938907370241
6,3.265218480693029,3.907739637922481
7,3.1932570882201876,4.092390515166584
8,3.1298577586275265,3.8257039114312303
9,3.0693841370461334,3.8324536121437727
10,3.0167207820250397,3.898297640692034
11,2.968415518590506,3.840374401624592
12,2.9255744588355954,3.8584158307643013
13,2.884634117541404,3.8378783555954628
14,2.8478587195012453,3.7849579190912785
15,2.8125427835750614,3.8495380000343076
16,2.779720512681176,3.8313497311293254
17,2.748840429353166,3.844260890614082
18,2.7203958441597544,3.831324880356689
19,2.693833161903177,3.810888746331189
20,2.6677400158691036,3.8321124299633595
21,2.643175249211201,3.8541647405948765
22,2.619515025489341,3.914602667785168
23,2.596571193337775,3.828487800369252
24,2.574438513539918,3.786003473990906
25,2.553657235042883,3.7925175592295797
26,2.5345048988858787,3.7784652744121363
27,2.5159395842069214,3.841344217184501
28,2.4987843637491656,3.801718038787672
29,2.4818078756622977,3.765354069765706
30,2.465768982078196,3.757315302923094
31,2.4508868597749403,3.80470150697821
32,2.4357017452796588,3.7370078371520625
33,2.422549061669501,3.798988177394882
34,2.4086159541569754,3.7409561270436686
35,2.395017584497088,3.793153342826626
36,2.3825627662600963,3.7652353953948663
37,2.371210374777193,3.804041454253049
38,2.359948184409052,3.743265181837989
39,2.3489904434484132,3.7500359814871675
40,2.338559809210924,3.7425580458327072
41,2.3278418765449316,3.717557511995318
42,2.3181112717056336,3.703920245998606
43,2.308305621152791,3.777315868174379
44,2.298853495999158,3.7509547415461775
45,2.289673255911347,3.756083583095209
46,2.2812613792923524,3.7697909426070493
47,2.2730156813829363,3.7610047161866094
48,2.2649940279115395,3.7237569342990957
49,2.2570492056466898,3.7323154720595815
50,2.2494351617362605,3.7269544150840677
51,2.241405510070306,3.729515386977093
52,2.234563580089545,3.8085767191079616
53,2.22773078968872,3.747908888126789
54,2.220595486989758,3.766390799770694
55,2.2139203812372057,3.8253794934374428
56,2.2073547531074076,3.763076774336897
57,2.201079593085546,3.8139236933224905
58,2.1947919698765395,3.8446161993695123
59,2.188774518884979,3.761985010454095
60,2.182391701675055,3.772259653142893
61,2.1766701677627416,3.764984168778232
62,2.1709079952105292,3.8002009443054736
