epoch,train_loss,val_loss
1,4.403103891032871,4.486944987896704
2,3.7124861683934283,4.308086175544051
3,3.490956951795088,4.071891106230342
4,3.346740818039656,4.0653704066866405
5,3.24221662896561,3.949552980072728
6,3.159758813767559,4.0555805963231855
7,3.0926186689313453,3.977242070104733
8,3.034253035991832,3.842764568925733
9,2.9820900936014945,3.831235968656832
10,2.935939829221785,3.841488308395267
11,2.8939950625421544,3.9125939364308144
12,2.8565715258563844,3.7804650799906785
13,2.8222228185763956,3.7702340923115503
14,2.7904647613306692,3.9100186158307295
15,2.7610740464560495,3.758568522072917
16,2.7341648546657407,3.76321466358801
17,2.709044709204618,3.7936810371335414
18,2.6857647204721493,3.7392996613659575
19,2.664159776819237,3.752940276213565
20,2.6435428432362666,3.7312537394328813
21,2.6240915103167337,3.733668440841869
22,2.6056285002561914,3.6773447664490524
23,2.5878703150060662,3.762743397641043
24,2.5709913272296068,3.839333129295465
25,2.55519264189795,3.6977124364823566
26,2.5395390749154556,3.705789814743045
27,2.5245445569705827,3.673333646784911
28,2.5111264488767326,3.69686820408728
29,2.4972346166666473,3.71387102039196
30,2.483854547702858,3.7213489745069808
31,2.4711414990374276,3.7198574281625905
32,2.459035116671964,3.6875772904732056
33,2.447336022052295,3.65681784080249
34,2.435685020433486,3.682635906755862
35,2.4243898457219393,3.7234303236818045
36,2.414006611856873,3.686929688531492
37,2.403729060641486,3.6465009220393374
38,2.3930576337633584,3.7332387100745605
39,2.383551527205649,3.6624177614825584
40,2.3745738060677444,3.6804685600421343
41,2.3645772001059453,3.6365870916909437
42,2.355691405928407,3.699356811818163
43,2.3468602432182446,3.692190229230026
44,2.3386136210674224,3.7132252241721035
45,2.3299780946573967,3.622621359091578
46,2.321980265461096,3.6563304509394596
47,2.314388467438232,3.760285147799578
48,2.3061975718165897,3.7895208359973314
49,2.2985622238582506,3.708882090610987
50,2.2907612417653267,3.6744937755004936
51,2.2839021030305253,3.7274551875851594
52,2.2770281740698715,3.7829737501629994
53,2.269567403260372,3.6966599513908895
54,2.2628147038507094,3.648592979674635
55,2.2569524207821456,3.7270850875567962
56,2.250285441566389,3.697585626635482
57,2.244153581638107,3.691820003453625
58,2.237517220415383,3.658576628077786
59,2.2310272544396215,3.6776204166073616
60,2.224703471056829,3.6776651619222576
61,2.218583869488558,3.740712265941599
62,2.2119710926243674,3.711260015081497
63,2.2061399630234666,3.6851453191757577
64,2.2001518700148615,3.664321872419282
65,2.1940816114102057,3.6432709902952443
