epoch,train_loss,val_loss
1,5.592466437333046,5.2673167239508025
2,4.506266606023801,4.989783025476801
3,4.234872579959739,5.091486290595246
4,4.06231264807208,4.67050623426362
5,3.934123410998968,4.606469139008283
6,3.83355220763348,4.46433280045477
7,3.7501427143779287,4.4175472384831975
8,3.680463060476181,4.400937498468844
9,3.6202260778076862,4.311606826192886
10,3.5662377719864686,4.262017412503571
11,3.5197006280451255,4.286585386965826
12,3.477054228073373,4.202653249077021
13,3.4370768954310797,4.266217998309651
14,3.3996198720546715,4.222539913820028
15,3.365032128932104,4.148929459313412
16,3.332820287389061,4.108583928867468
17,3.3026695086534703,4.0536912787245205
18,3.274519382955581,4.114564051700594
19,3.2478494917374383,4.082666376260987
20,3.2226076331680638,4.05497951579421
21,3.199012202588507,4.115913704797618
22,3.177006947580437,4.147443436386075
23,3.156568000720742,4.004762623145684
24,3.1365760623711547,4.091608154278376
25,3.1182120178321155,4.075553033943888
26,3.10010919647787,4.0175666847323654
27,3.083162700144414,4.093259119636073
28,3.0665776004097904,3.959115669249374
29,3.0509280189613763,3.9798377785179317
30,3.036439756929406,3.9999088826952853
31,3.021273957034619,3.9287610518723475
32,3.007970196644149,3.9318228678248057
33,2.9945675999047503,3.9312075098086474
34,2.981727152662537,3.946159271938206
35,2.970181314642944,3.924745356268128
36,2.9579806879991315,3.9581926977161266
37,2.9462106919392568,3.9199163891692255
38,2.93539885236619,3.903799588369213
39,2.924070122324537,3.929510402663354
40,2.9138006962246497,3.9203995011698507
41,2.903395822422458,3.9253413891144997
42,2.893822793814781,3.948044459516902
43,2.884733862746655,3.9703580354790904
44,2.8742476796062397,3.9062213600689892
45,2.8653167646914137,3.9404938211991296
46,2.856873884027799,3.8870212875486323
47,2.848453773292308,3.907102295795754
48,2.840125617331076,3.8770095783808416
49,2.8313435864138707,3.872129954203245
50,2.8234503950089787,3.896853717818679
51,2.8157304720169636,3.940213980395417
52,2.807968725052927,3.8711097021515184
53,2.800788256353256,3.9081745205057703
54,2.7935878393269804,3.8357445054275154
55,2.7860415052561387,3.8808997230724978
56,2.7795837523896547,3.8810045175385746
57,2.772771842083512,3.8615062019864244
58,2.7663785676405928,3.868533168016543
59,2.7596159908848255,3.882859212840621
60,2.753672748776468,3.872440089776111
61,2.7471422396872986,3.879987549528098
62,2.741209736374119,3.932175625374295
63,2.7353161726072583,3.858357862774747
64,2.729755140853824,3.8611956464659682
65,2.7236876410421846,3.8814738866783727
66,2.718164540465473,3.844522147642062
67,2.7126703127040126,3.865776549532594
68,2.7070399633395508,3.8522742817858684
69,2.7016189564497246,3.847296963434706
70,2.6962276236324163,3.8899053928445158
71,2.6920402830062713,3.836499981742016
72,2.6861906347091886,3.8550368135052016
73,2.68182477917562,3.825507585731637
74,2.676566292471143,3.85736743403023
75,2.6718559234246007,3.8385218386306286
76,2.6670180939434074,3.857390296796584
77,2.662484944501425,3.874962656002384
78,2.658158246517639,3.9483977602485503
79,2.6539483845743166,3.865739674496206
80,2.6490409015421634,3.828040834012238
81,2.6446982994346864,3.842918472106542
82,2.6405405926844208,3.833299606190619
83,2.636356207853089,3.883986909681596
84,2.6323066225228304,3.8680344932128032
85,2.6278018706789403,3.806296921623216
86,2.623929859191903,3.8451597532533897
87,2.6199860770022547,3.822920089026573
88,2.616016747571494,3.849165736283416
89,2.6121025949752155,3.8395856729397364
90,2.608354261459415,3.8290177718491774
91,2.604424598695753,3.8849900080707553
92,2.600842665270196,3.821901827460262
93,2.5968710559463064,3.8182653045304256
94,2.5929749754409355,3.851829779138193
95,2.589146219191531,3.8445724963949557
96,2.5858638470258994,3.872827494471426
97,2.5825805540078233,3.8575520968867094
98,2.579365328379046,3.8183949423700025
99,2.5756764615175793,3.8451963534945643
100,2.5724102084013007,3.873242976787913
